dtitle,author,description,image_url,url,category_id,published
"vivo Y200+ ra mắt với chip Snapdragon 4 Gen 2, màn hình 120Hz và pin 6000 mAh, giá từ 3.83 triệu đồng",Hải Nam,"vivo mới đây vừa chính thức ra mắt một chiếc smartphone giá rẻ mới, có tên gọi là vivo Y200+ tại quê nhà Trung Quốc. Dù có mức giá phải chăng nhưng điện thoại này vẫn sở hữu thiết kế bắt mắt, cấu hình phần cứng ấn tượng và có",https://cdn-media.sforum.vn/storage/app/media/trannghia/Vivo-Y200-Plus-ra-mat-2.jpg,https://cellphones.com.vn/sforum/vivo-y200-plus-ra-mat-,news,28/12/2024 20:46:10
Đây là cái nhìn đầu tiên về OnePlus Open 2 màn hình gập,Hải Nam,"Theo các báo cáo trước đó cho biết, OnePlus đang phát triển mẫu điện thoại màn hình gập tiếp theo của họ là OnePlus Open 2. Thiết bị được cho là sẽ ra mắt vào quý 1 năm sau. Hôm nay, hình ảnh render của OnePlus Open 2 vừa được",https://cdn-media.sforum.vn/storage/app/media/trannghia/OnePlus-Open-2-anh-render-2.jpg,https://cellphones.com.vn/sforum/oneplus-open-2-lo-anh-render,news,28/12/2024 20:39:14
Redmi Turbo 4 lộ ảnh render với thiết kế giống iPhone 16,Hải Nam,"Xiaomi dự kiến ​​sẽ ra mắt Redmi Turbo 4 vào đầu tháng 1 tại Trung Quốc. Gần đây, một rò rỉ mới trên Weibo đã tiết lộ ngày ra mắt và thiết kế của điện thoại. Hình ảnh đầu tiên bên dưới cho thấy Redmi Turbo 4 có thể sẽ",https://cdn-media.sforum.vn/storage/app/media/trannghia/Redmi-Turbo-4-thong-tin-2.jpg,https://cellphones.com.vn/sforum/redmi-turbo-4-lo-anh-render,news,29/12/2024 16:10:45
OPPO A5 Pro trình diễn khả năng bền bỉ sau thử thách nhiệt độ cực khắc nhiệt!,Hải Anh,"Ngày 27/12, OPPO tổ chức sự kiện trải nghiệm sản phẩm OPPO A5 Pro vừa ra mắt: “Chiến thần bền bỉ đương đầu băng giá” ngay giữa đường phố tại Cáp Nhĩ Tân, là thủ phủ của tỉnh Hắc Long Giang ở phía đông bắc Trung Quốc. Chương trình giới",https://cdn-media.sforum.vn/storage/app/media/haianh/oppo-a5-pro-thu-thach-nhiet-do-thumb.jpg,https://cellphones.com.vn/sforum/oppo-a5-pro-thu-thach-nhiet-do,news,29/12/2024 15:52:18
"Nintendo Switch 2 lộ ảnh thực tế, sẽ ra mắt vào tháng 3 năm sau?",Hải Anh,"Mới đây, hình ảnh thực tế của Nintendo Switch 2 đã xuất hiện trên mạng, thu hút sự chú ý lớn từ cộng đồng game thủ. Các bức ảnh được cho là chụp tại studio hoặc nhà máy, hé lộ nhiều chi tiết thiết kế độc đáo của dòng máy",https://cdn-media.sforum.vn/storage/app/media/haianh/nintendo-switch-2-lo-anh-thuc-te-thumb.jpg,https://cellphones.com.vn/sforum/nintendo-switch-2-lo-anh-thuc-te,news,29/12/2024 15:44:15
"realme 14 Pro Series có phiên bản da lộn, màn hình cong 1.5K",Hải Nam,"realme gần đây xác nhận đang phát triển các điện thoại realme 14 Pro thuộc phân khúc tầm trung. Giờ đây, công ty vừa chia sẻ thêm thông tin màn hình các smartphone này. realme được cho là sẽ ra mắt realme 14 Pro và realme 14 Pro+ vào tháng",https://cdn-media.sforum.vn/storage/app/media/trannghia/Realme-14-Pro-Series-Teaser.jpg,https://cellphones.com.vn/sforum/realme-14-pro-series-co-phien-ban-da-lon,news,29/12/2024 15:42:15
"Caviar ra mắt Huawei Mate XT làm từ vàng nguyên khối 18K, giá 2.55 tỷ đồng",Hải Nam,"Caviar, công ty có trụ sở tại Dubai nổi tiếng với các thiết bị sang trọng, vừa tạo ra một phiên bản đặc biệt Huawei Mate XT được làm hoàn toàn bằng vàng 18K. Chiếc điện thoại này nặng gần 1 kg, có thiết kế rất sang trọng và sở",https://cdn-media.sforum.vn/storage/app/media/trannghia/Caviar-18k-Gold-Huawei-Mate-XT-1.jpg,https://cellphones.com.vn/sforum/caviar-ra-mat-huawei-mate-xt-vang-nguyen-khoi,news,29/12/2024 09:56:32
Hé lộ thông số độ sáng màn hình Galaxy S25 Ultra,Hải Nam,"Galaxy S25 Ultra, mẫu điện thoại cao cấp tiếp theo của Samsung dự kiến sẽ ra mắt vào tháng tới. Được biết, khá nhiều thông tin về sản phẩm này đã được chia sẻ trong các rò rỉ xuất hiện thời gian qua. Hôm nay, một số chi tiết thú",https://cdn-media.sforum.vn/storage/app/media/trannghia/do-sang-man-hinh-Galaxy-S25-Ultra.jpg,https://cellphones.com.vn/sforum/do-sang-man-hinh-galaxy-s25-ultra,news,29/12/2024 06:19:33
Đây là thông số hệ thống camera khủng của Huawei P80 Ultra,Hải Nam,"Huawei gần đây đã ra mắt dòng điện thoại cao cấp Huawei Mate 70 tại Trung Quốc. Giới phân tích hiện suy đoán rằng, công ty này sẽ giới thiệu dòng Pura 80 vào nửa đầu năm sau. Hôm nay, leaker nổi tiếng Digital Chat Station vừa chia sẻ cho",https://cdn-media.sforum.vn/storage/app/media/trannghia/Huawei-Pura-80-Ultra-thong-so-camera.jpg,https://cellphones.com.vn/sforum/day-la-thong-so-camera-huawei-p80-ultra,news,27/12/2024 13:18:54
Samsung đang tích cực phát triển màn hình iPhone “không viền”,Hải Nam,"Là nhà cung cấp tấm nền OLED di động hàng đầu thế giới, không có gì ngạc nhiên khi Samsung hiện đang là nhà sản xuất màn hình chính cho iPhone. Công ty cũng đang cung cấp tấm nền OLED cho MacBook. Samsung Display đã phát triển một tấm nền",https://cdn-media.sforum.vn/storage/app/media/trannghia/Samsung-iphone-khong-vien-1.jpg,https://cellphones.com.vn/sforum/samsung-phat-trien-man-hinh-iphone-khong-vien,news,27/12/2024 13:17:37
"PCB của NVIDIA GeForce RTX 5090 bị rò rỉ: Lộ diện GPU GB202 khủng long, bộ nhớ GDDR7 và dàn VRM hao điện",Tiz,"Rò rỉ mới nhất về PCB của card đồ họa flagship GeForce RTX 5090 ""Blackwell"" từ NVIDIA đã hé lộ thiết kế hoàn chỉnh, bao gồm GPU GB202, bộ nhớ GDDR7 tốc độ cao của Samsung và cấu hình cấp nguồn cực kỳ mạnh mẽ. Từ hình ảnh được đăng",https://cdn-media.sforum.vn/storage/app/media/tiz/nvidia-rtx-5090.jpg,https://cellphones.com.vn/sforum/pcb-cua-nvidia-geforce-rtx-5090-bi-ro-ri,news,27/12/2024 08:16:07
"Mua iPhone tại Nhật, người dùng được tặng kèm AirTag phiên bản giới hạn",Hải Nam,"Hôm nay, Apple đã công bố chương trình khuyến mãi năm mới sắp diễn ra tại Nhật Bản, cung cấp cho khách hàng thẻ quà tặng Apple miễn phí trị giá lên đến 30,000 Yên (khoảng 4.83 triệu đồng) khi mua các thiết bị Apple đủ điều kiện. Khách hàng",https://cdn-media.sforum.vn/storage/app/media/trannghia/apple-japan-qua-tang-2025.jpg,https://cellphones.com.vn/sforum/mua-iphone-tang-kem-airtag-ban-gioi-han,news,27/12/2024 07:42:18
"OPPO Find X8S sẽ có màn hình 6.6 inch, chip Dimensity 9400+ mạnh mẽ",Hải Nam,"OPPO được cho là đang có kế hoạch ra mắt nhiều điện thoại cao cấp mới tại Trung Quốc vào nửa đầu năm 2025. Ngoài Find N5, Find X8 Ultra và Find X8 Mini, công ty cũng dự kiến ​​sẽ ra mắt phiên bản nâng cấp nhẹ của Find X8,",https://cdn-media.sforum.vn/storage/app/media/trannghia/thong-tin-OPPO-Find-X8S-cover.jpg,https://cellphones.com.vn/sforum/oppo-find-x8s-se-co-man-hinh-66-inch,news,27/12/2024 07:05:00
Rò rỉ những hình ảnh đầu tiên về Reno13 Series sắp ra mắt tại Việt Nam,Hải Nam,"Loạt ảnh rò rỉ mới nhất cho thấy OPPO Reno13 Series sẽ có thiết kế thời trang và cao cấp, hứa hẹn sẽ thu hút mọi ánh nhìn. OPPO Việt Nam gần đây cho biết sẽ ra mắt các chuyên gia AI Phone thế hệ mới - Reno13 Series tại",https://cdn-media.sforum.vn/storage/app/media/trannghia/thiet-ke-Reno13-Series-1.jpg,https://cellphones.com.vn/sforum/ro-ri-anh-oppo-reno13-series,news,27/12/2024 06:27:17
Galaxy Z Flip7 có thể là điện thoại gập đầu tiên sử dụng chip Exynos,Hải Nam,"Theo một rò rỉ mới, Galaxy Z Flip7 có thể là điện thoại thông minh Galaxy có thể gập đầu tiên được trang bị chip Exynos. Kể từ khi ra mắt mẫu Galaxy Fold đầu tiên vào năm 2019, Samsung đã sử dụng độc quyền chip Snapdragon của Qualcomm cho",https://cdn-media.sforum.vn/storage/app/media/trannghia/Galaxy-Z-Flip7-Exynos.jpg,https://cellphones.com.vn/sforum/galaxy-z-flip7-dung-chip-exynos,news,28/12/2024 07:43:05
Snapdragon 8 Elite Gen 2 sẽ được sản xuất độc quyền trên tiến trình 3nm “N3P” của TSMC,Hải Nam,"TSMC một lần nữa đã tận dụng lợi thế về công nghệ in thạch bản vượt trội của mình so với Samsung, khi họ sẽ độc quyền sản xuất hàng loạt chip Snapdragon 8 Elite Gen 2 của Qualcomm cho năm sau. Theo các báo cáo trước đó, Qualcomm dường",https://cdn-media.sforum.vn/storage/app/media/trannghia/Snapdragon-8-Elite-Gen-2-thong-tin.jpg,https://cellphones.com.vn/sforum/snapdragon-8-elite-gen-2-duoc-san-xuat-boi-tsmc,news,27/12/2024 16:55:22
Đây là biến thể màu xanh mới của Galaxy S25 Ultra sắp ra mắt,Hải Nam,"Nếu các tin đồn, rò rỉ xuất hiện thời gian qua chính xác, Samsung vào tháng tới sẽ ra mắt các flagship tiếp theo là Galaxy S25, S25 Plus và S25 Ultra. Được biết, thông tin về các điện thoại này đã liên tục được chia sẻ trong thời gian",https://cdn-media.sforum.vn/storage/app/media/trannghia/mau-xanh-galaxy-s25-ultra.jpg,https://cellphones.com.vn/sforum/mau-xanh-moi-cua-galaxy-s25-ultra,news,27/12/2024 16:53:22
